YEAR,AGE04_MALE,AGE59_MALE,AGE1014_MALE,AGE1519_MALE,AGE2024_MALE,AGE2529_MALE,AGE3034_MALE,AGE3539_MALE,AGE4044_MALE,AGE4549_MALE,AGE5054_MALE,AGE5559_MALE,AGE6064_MALE,AGE6569_MALE,AGE7074_MALE,AGE7579_MALE,AGE8084_MALE,AGE85PLUS_MALE,Total
2010,37724,42776,47984,48729,41117,36407,35124,38857,46360,52661,52212,45131,37904,25623,18719,15789,13405,11620,648142
2011,37843,42685,47802,48874,41202,36774,35324,38688,46126,52467,52319,45333,38235,25892,18770,15670,13392,11759,649155
2012,37792,42328,46986,49300,41739,37730,35830,37809,45252,51377,52809,46081,39996,27018,19035,15423,13160,12203,651868
2013,37876,42023,46135,49361,42082,38570,36386,37493,44196,50308,52576,47203,39766,29659,19638,15379,12974,12508,654133
2014,37514,41719,45669,48391,43039,39439,36919,37777,43106,48873,52345,48066,40091,31147,20830,15479,12601,12735,655740
2015,38001,41121,45123,47436,44075,39752,37511,38075,41979,47365,52202,48845,40747,32690,21694,15515,12211,13077,657419
2016,38084,40798,44460,46452,44360,40218,37451,38574,40887,46421,51298,49774,41555,34027,22491,15779,11869,13332,657830
2017,38011,40883,43956,45762,44376,40578,38041,39082,39973,45757,50155,50073,42258,35496,23468,15955,11775,13474,659073
2018,38040,41116,43634,44934,44514,40696,38559,39587,39855,44789,49119,49881,43328,35232,25646,16537,11798,13407,660672
2019,38129,40984,43231,44458,43555,41588,38597,40056,40383,43673,47684,49583,44185,35391,26999,17419,11930,13396,661241
2020,37916,41200,43106,43859,42782,42136,39005,40335,40650,42662,46291,49375,44631,36026,28249,18051,11997,13470,661741
,,,,,,,,,,,,,1.01%,1.79%,4.63%,3.63%,0.56%,0.55%,